SIC_Code,Description,Portfolio_Weight,Benchmark_Weight,Portfolio_Return,Benchmark_Return,Allocation,Selection,Interaction,Total
3585,AIR-COND & WARM AIR HEATG EQUIP & COMM & INDL REFRIG EQUIP,0.0,0.002217739,0.0,0.1454587151359774,-0.0003225894654469474,-0.0003225894654469474,0.0003225894654469474,-0.0003225894654469474
5122,"WHOLESALE-DRUGS, PROPRIETARIES & DRUGGISTS' SUNDRIES",0.0,0.002848774,0.0,0.2278346575483873,-0.0006490494487227496,-0.0006490494487227496,0.0006490494487227496,-0.0006490494487227496
3590,MISC INDUSTRIAL & COMMERCIAL MACHINERY & EQUIPMENT,0.0,0.002662603,0.0,0.5265927099841481,-0.0014021073293819227,-0.0014021073293819227,0.0014021073293819227,-0.0014021073293819227
8711,SERVICES-ENGINEERING SERVICES,0.009766367,0.0,0.49999999999999867,0.0,0.0,0.0,0.004883183499999987,0.004883183499999987
2060,SUGAR & CONFECTIONERY PRODUCTS,0.0,0.000502806,0.0,-0.17842506499801736,8.971319323139311e-05,8.971319323139311e-05,-8.971319323139311e-05,8.971319323139311e-05
3600,ELECTRONIC & OTHER ELECTRICAL EQUIPMENT (NO COMPUTER EQUIP),0.0,0.007711416999999999,0.0,0.4563424724754896,-0.003519047100069522,-0.003519047100069522,0.003519047100069522,-0.003519047100069522
1040,GOLD AND SILVER ORES,0.0,0.000888094,0.0,-0.16518757563533626,0.00014670209479628832,0.00014670209479628832,-0.00014670209479628832,0.00014670209479628832
5651,RETAIL-FAMILY CLOTHING STORES,0.0,0.003785432,0.0,0.18933896995324093,-0.0007167297957080367,-0.0007167297957080367,0.0007167297957080367,-0.0007167297957080367
5140,WHOLESALE-GROCERIES & RELATED PRODUCTS,0.0,0.001058186,0.0,0.03570680077465416,-3.778443668452819e-05,-3.778443668452819e-05,3.778443668452819e-05,-3.778443668452819e-05
2070,FATS & OILS,0.0,0.000705977,0.0,-0.11573034530484759,8.170296198728039e-05,8.170296198728039e-05,-8.170296198728039e-05,8.170296198728039e-05
2040,GRAIN MILL PRODUCTS,0.0,0.001152083,0.0,-0.2165940993210397,0.0002495343797280814,0.0002495343797280814,-0.0002495343797280814,0.0002495343797280814
8731,SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH,0.023092192,0.001095908,0.1349946041400969,0.05516307062299215,0.0012133825677353924,8.748801623366323e-05,0.0017559970833977549,0.0030568676673668107
3100,LEATHER & LEATHER PRODUCTS,0.0,0.000304822,0.0,-0.05202163275817606,1.5857338140612743e-05,1.5857338140612743e-05,-1.5857338140612743e-05,1.5857338140612743e-05
2080,BEVERAGES,0.0,0.010409594,0.0,-0.05106831172064968,0.0005316003912774045,0.0005316003912774045,-0.0005316003912774045,0.0005316003912774045
2082,MALT BEVERAGES,0.0,0.000202726,0.0,0.23806634304206908,-4.82622374595465e-05,-4.82622374595465e-05,4.82622374595465e-05,-4.82622374595465e-05
8741,SERVICES-MANAGEMENT SERVICES,0.0,0.000750901,0.0,0.3366618270170967,-0.0002527997025689649,-0.0002527997025689649,0.0002527997025689649,-0.0002527997025689649
2086,BOTTLED & CANNED SOFT DRINKS & CARBONATED WATERS,0.0,0.000744198,0.0,0.1371891038294506,-0.00010209585669166947,-0.00010209585669166947,0.00010209585669166947,-0.00010209585669166947
3621,MOTORS & GENERATORS,0.0,0.000190385,0.0,0.32268959164875666,-6.143525790604854e-05,-6.143525790604854e-05,6.143525790604854e-05,-6.143525790604854e-05
2090,MISCELLANEOUS FOOD PREPARATIONS & KINDRED PRODUCTS,0.0,0.000385764,0.0,-0.18030430094644956,6.955490835030616e-05,6.955490835030616e-05,-6.955490835030616e-05,6.955490835030616e-05
3630,HOUSEHOLD APPLIANCES,0.0,0.00016296,0.0,0.39918533604887907,-6.505124236252534e-05,-6.505124236252534e-05,6.505124236252534e-05,-6.505124236252534e-05
6199,FINANCE SERVICES,0.0,0.003897471,0.0,0.2607935981867478,-0.001016435485918502,-0.001016435485918502,0.001016435485918502,-0.001016435485918502
6200,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES",0.046994261999999995,0.004981957,0.11037277314393351,0.19342762042975806,0.008126340184919225,-0.00041377567781954465,-0.0034893255759004824,0.004223238931199198
2621,PAPER MILLS,0.0,0.000372521,0.0,0.020898051397910455,-7.784963004801001e-06,-7.784963004801001e-06,7.784963004801001e-06,-7.784963004801001e-06
2111,CIGARETTES,0.007040659,0.005594292,-0.11379613356766238,-0.08497849769961015,-0.00012291009478229207,-0.00016121426979555766,-4.168087753756712e-05,-0.0003258052421154169
1600,HEAVY CONSTRUCTION OTHER THAN BLDG CONST - CONTRACTORS,0.0,0.000335869,0.0,0.0701624206447371,-2.3565382059527203e-05,-2.3565382059527203e-05,2.3565382059527203e-05,-2.3565382059527203e-05
6211,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",0.03865229,0.012618355999999999,-0.11610917119622899,0.06109683540839152,0.0015905909806309278,-0.0022360484766754526,-0.004613369480348254,-0.0052588269763927786
3663,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,0.0,0.004990886,0.0,0.308138727368381,-0.0015378852604806695,-0.0015378852604806695,0.0015378852604806695,-0.0015378852604806695
5200,"RETAIL-BUILDING MATERIALS, HARDWARE, GARDEN SUPPLY",0.0,0.002947328,0.0,0.25501511070881633,-0.0007516131762151942,-0.0007516131762151942,0.0007516131762151942,-0.0007516131762151942
3670,ELECTRONIC COMPONENTS & ACCESSORIES,0.0,0.000455044,0.0,0.40274638577338195,-0.0001832673263678628,-0.0001832673263678628,0.0001832673263678628,-0.0001832673263678628
3672,PRINTED CIRCUIT BOARDS,0.0,0.000326885,0.0,0.896397737421855,-0.0002930189743971431,-0.0002930189743971431,0.0002930189743971431,-0.0002930189743971431
3674,SEMICONDUCTORS & RELATED DEVICES,0.0,0.11000725099999999,0.0,1.8419290143005977,-0.2026255474003484,-0.2026255474003484,0.2026255474003484,-0.2026255474003484
5211,RETAIL-LUMBER & OTHER BUILDING MATERIALS DEALERS,0.0,0.010927747,0.0,0.1469715673434563,-0.0016060681041227523,-0.0016060681041227523,0.0016060681041227523,-0.0016060681041227523
4700,TRANSPORTATION SERVICES,0.0,0.003790425,0.0,0.7437390421445367,-0.0028190870588207053,-0.0028190870588207053,0.0028190870588207053,-0.0028190870588207053
2650,PAPERBOARD CONTAINERS & BOXES,0.0,0.00093878,0.0,0.11323560424016421,-0.00010630332054858136,-0.00010630332054858136,0.00010630332054858136,-0.00010630332054858136
3678,ELECTRONIC CONNECTORS,0.0,0.001672367,0.0,0.2975130890052349,-0.0004975510721204177,-0.0004975510721204177,0.0004975510721204177,-0.0004975510721204177
5731,"RETAIL-RADIO, TV & CONSUMER ELECTRONICS STORES",0.0,0.000341262,0.0,-0.026489242631512866,9.039771918915343e-06,9.039771918915343e-06,-9.039771918915343e-06,9.039771918915343e-06
2670,CONVERTED PAPER & PAPERBOARD PRODS (NO CONTANERS/BOXES),0.0,0.001184993,0.0,-0.059227229062296265,7.018385184821764e-05,7.018385184821764e-05,-7.018385184821764e-05,7.018385184821764e-05
4210,TRUCKING & COURIER SERVICES (NO AIR),0.0,0.001827516,0.0,-0.10297809219534593,0.0001881941111364698,0.0001881941111364698,-0.0001881941111364698,0.0001881941111364698
4213,TRUCKING (NO LOCAL),0.0,0.000946568,0.0,0.35317567090054647,-0.00033430478845298845,-0.00033430478845298845,0.00033430478845298845,-0.00033430478845298845
4731,ARRANGEMENT OF TRANSPORTATION OF FREIGHT & CARGO,0.0,0.000556315,0.0,0.10032400127379434,-5.5811746768630906e-05,-5.5811746768630906e-05,5.5811746768630906e-05,-5.5811746768630906e-05
3711,MOTOR VEHICLES & PASSENGER CAR BODIES,0.032432063,0.024209757,0.06209343583678417,1.1633965027863582,0.009565802045239288,-0.026662279634203916,-0.009055250815197882,-0.026151728404162508
3714,MOTOR VEHICLE PARTS & ACCESSORIES,0.009398377,0.00046719199999999995,-0.10975912590017456,-0.05785173256085385,-0.0005166845260715095,-2.4250718908983918e-05,-0.00046359453278124095,-0.0010045297777617345
6792,OIL ROYALTY TRADERS,0.0,0.000447274,0.0,-0.252143764178806,0.00011277734997931129,0.00011277734997931129,-0.00011277734997931129,0.00011277734997931129
3721,AIRCRAFT,0.0,0.00252764,0.0,0.33404984901991086,-0.0008443577603766874,-0.0008443577603766874,0.0008443577603766874,-0.0008443577603766874
6282,INVESTMENT ADVICE,0.0,0.005877472999999999,0.0,0.6167693511454038,-0.0036250452085846295,-0.0036250452085846295,0.0036250452085846295,-0.0036250452085846295
3720,AIRCRAFT & PARTS,0.0,0.000286397,0.0,0.14460575007116439,-4.1414653003131264e-05,-4.1414653003131264e-05,4.1414653003131264e-05,-4.1414653003131264e-05
3724,AIRCRAFT ENGINES & ENGINE PARTS,0.0,0.006068716,0.0,-0.09517768047343587,0.0005776063123320279,0.0005776063123320279,-0.0005776063123320279,0.0005776063123320279
6798,REAL ESTATE INVESTMENT TRUSTS,0.0,0.019009089,0.0,0.11678877385985781,-0.002220048196502911,-0.002220048196502911,0.002220048196502911,-0.002220048196502911
7311,SERVICES-ADVERTISING AGENCIES,0.0,0.000554201,0.0,0.016594113722210244,-9.19647441896264e-06,-9.19647441896264e-06,9.19647441896264e-06,-9.19647441896264e-06
3728,"AIRCRAFT PARTS & AUXILIARY EQUIPMENT, NEC",0.0,0.001415558,0.0,0.6165683877462966,-0.0008727883138213721,-0.0008727883138213721,0.0008727883138213721,-0.0008727883138213721
3730,SHIP & BOAT BUILDING & REPAIRING,0.0,0.0015024530000000002,0.0,0.0536630722509031,-8.062624389258612e-05,-8.062624389258612e-05,8.062624389258612e-05,-8.062624389258612e-05
2711,NEWSPAPERS: PUBLISHING OR PUBLISHING & PRINTING,0.0,0.000278366,0.0,0.353762359674275,-9.847541301308923e-05,-9.847541301308923e-05,9.847541301308923e-05,-9.847541301308923e-05
7320,"SERVICES-CONSUMER CREDIT REPORTING, COLLECTION AGENCIES",0.013599739,0.00531382,0.24698704049215725,0.33394844757589487,0.002767069786789611,-0.00046209726418970664,-0.0007205551752218761,0.0015844173473780281
3743,RAILROAD EQUIPMENT,0.0,0.000667691,0.0,0.27205292702485506,-0.0001816472908981525,-0.0001816472908981525,0.0001816472908981525,-0.0001816472908981525
7841,SERVICES-VIDEO TAPE RENTAL,0.0,0.007664404,0.0,0.6507204610951012,-0.004987384504899137,-0.004987384504899137,0.004987384504899137,-0.004987384504899137
6311,LIFE INSURANCE,0.021227321,0.0020254879999999998,0.11103754292102319,-0.020311991910640547,-0.0003900274765654707,0.0002660469066071169,0.00252215183246529,0.0023981712625069365
7340,SERVICES-TO DWELLINGS & OTHER BUILDINGS,0.0,0.001424375,0.0,0.5286726753908437,-0.000753028142009833,-0.000753028142009833,0.000753028142009833,-0.000753028142009833
3760,GUIDED MISSILES & SPACE VEHICLES & PARTS,0.0,0.002060889,0.0,-0.05086591418340147,0.00010482900301551608,0.00010482900301551608,-0.00010482900301551608,0.00010482900301551608
6321,ACCIDENT & HEALTH INSURANCE,0.0,0.001373295,0.0,0.10086371935914706,-0.00013851564147731988,-0.00013851564147731988,0.00013851564147731988,-0.00013851564147731988
5810,RETAIL-EATING & DRINKING PLACES,0.0,0.00210396,0.0,-0.047803233164732895,0.00010057609044927143,0.00010057609044927143,-0.00010057609044927143,0.00010057609044927143
6324,HOSPITAL & MEDICAL SERVICE PLANS,0.022276514,0.014230207,-0.06935038876348198,-0.0084332784318592,-6.785674727921771e-05,-0.0008668630898608309,-0.0004901577712811087,-0.0014248776084211574
5812,RETAIL-EATING PLACES,0.0,0.007078750000000001,0.0,0.2424565172243293,-0.0017162890713017212,-0.0017162890713017212,0.0017162890713017212,-0.0017162890713017212
6331,"FIRE, MARINE & CASUALTY INSURANCE",0.028081031,0.010737109000000002,0.07659303988558674,0.09576163778231675,0.0016608823762887545,-0.00020581532499436083,-0.0003324586667702492,0.0011226083845241445
7359,"SERVICES-EQUIPMENT RENTAL & LEASING, NEC",0.0,0.000926377,0.0,0.6075243194752027,-0.0005627965565024799,-0.0005627965565024799,0.0005627965565024799,-0.0005627965565024799
1731,ELECTRICAL WORK,0.0,0.000937737,0.0,0.5347414835360214,-0.0005014468745466181,-0.0005014468745466181,0.0005014468745466181,-0.0005014468745466181
7370,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",0.037412731,0.06770691899999999,0.5674371633752249,1.0593491733494924,-0.03209212301509411,-0.03330584661445492,0.014902074909618332,-0.05049589471993069
7371,SERVICES-COMPUTER PROGRAMMING SERVICES,0.0,0.001374412,0.0,0.15849945705913204,-0.0002178435557755558,-0.0002178435557755558,0.0002178435557755558,-0.0002178435557755558
7372,SERVICES-PREPACKAGED SOFTWARE,0.028028277,0.09892444999999998,0.9523668200029642,0.6371600289525178,-0.0451722076413027,0.031181658440930335,-0.022346955189087296,-0.03633750438945966
4813,TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE),0.0,0.006709589,0.0,-0.08208332531488097,0.0005507453766161469,0.0005507453766161469,-0.0005507453766161469,0.0005507453766161469
7374,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,0.0,0.003164877,0.0,0.07125901654304351,-0.00022552602249969791,-0.00022552602249969791,0.00022552602249969791,-0.00022552602249969791
4812,RADIOTELEPHONE COMMUNICATIONS,0.0,0.002167106,0.0,0.15312140391254347,-0.0003318303131472964,-0.0003318303131472964,0.0003318303131472964,-0.0003318303131472964
7373,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN,0.0,0.001209298,0.0,0.19661231938617563,-0.0002377628846090634,-0.0002377628846090634,0.0002377628846090634,-0.0002377628846090634
5331,RETAIL-VARIETY STORES,0.0,0.017920651000000003,0.0,0.2372505068771002,-0.004251683533317613,-0.004251683533317613,0.004251683533317613,-0.004251683533317613
7381,"SERVICES-DETECTIVE, GUARD & ARMORED CAR SERVICES",0.0,0.000225926,0.0,0.17632311977715998,-3.9835977158774645e-05,-3.9835977158774645e-05,3.9835977158774645e-05,-3.9835977158774645e-05
7900,SERVICES-AMUSEMENT & RECREATION SERVICES,0.0,0.000408214,0.0,0.3592796979378454,-0.00014666300261399962,-0.00014666300261399962,0.00014666300261399962,-0.00014666300261399962
7389,"SERVICES-BUSINESS SERVICES, NEC",0.062213136999999995,0.036439343,0.17395312996387374,0.3175995541433296,0.008185745482982022,-0.005234381321398684,-0.003702313345637913,-0.0007509491840545753
4833,TELEVISION BROADCASTING STATIONS,0.0,0.000471952,0.0,-0.05158978603226223,2.4347902697498225e-05,2.4347902697498225e-05,-2.4347902697498225e-05,2.4347902697498225e-05
2273,CARPETS & RUGS,0.0,0.000122526,0.0,-0.03144300954519941,3.852586187535102e-06,3.852586187535102e-06,-3.852586187535102e-06,3.852586187535102e-06
3812,"SEARCH, DETECTION, NAVAGATION, GUIDANCE, AERONAUTICAL SYS",0.0,0.003154985,0.0,0.04042490797353405,-0.00012753997828288032,-0.00012753997828288032,0.00012753997828288032,-0.00012753997828288032
4841,CABLE & OTHER PAY TELEVISION SERVICES,0.067197264,0.004076594,0.1639670414985506,0.21216485907354216,0.013391988055177561,-0.00019648293393930514,-0.0030422785378712426,0.010153226583367012
3822,AUTO CONTROLS FOR REGULATING RESIDENTIAL & COMML ENVIRONMENTS,0.0,0.001697773,0.0,0.4219087040167915,-0.0007163052061447001,-0.0007163052061447001,0.0007163052061447001,-0.0007163052061447001
3823,"INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL",0.0,0.006012296,0.0,0.01892294334612851,-0.00011377033658815506,-0.00011377033658815506,0.00011377033658815506,-0.00011377033658815506
3312,"STEEL WORKS, BLAST FURNACES & ROLLING MILLS (COKE OVENS)",0.0,0.000872199,0.0,0.2956123765009809,-0.000257832819171779,-0.000257832819171779,0.000257832819171779,-0.000257832819171779
3825,INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS,0.0,0.000918005,0.0,0.1009318904244851,-9.265598006912944e-05,-9.265598006912944e-05,9.265598006912944e-05,-9.265598006912944e-05
3826,LABORATORY ANALYTICAL INSTRUMENTS,0.0,0.002026164,0.0,-0.08844358222465701,0.00017920120233463994,0.00017920120233463994,-0.00017920120233463994,0.00017920120233463994
3827,OPTICAL INSTRUMENTS & LENSES,0.0,0.001721956,0.0,0.5437524897092032,-0.0009363178621697006,-0.0009363178621697006,0.0009363178621697006,-0.0009363178621697006
2800,CHEMICALS & ALLIED PRODUCTS,0.0,0.000122757,0.0,-0.4952769772654495,6.079871589817479e-05,6.079871589817479e-05,-6.079871589817479e-05,6.079871589817479e-05
3829,"MEASURING & CONTROLLING DEVICES, NEC",0.0,0.005005773000000001,0.0,-0.004869192008918936,2.4374069890062173e-05,2.4374069890062173e-05,-2.4374069890062173e-05,2.4374069890062173e-05
2810,INDUSTRIAL INORGANIC CHEMICALS,0.0,0.005276111,0.0,0.19477894255731448,-0.001027675321395015,-0.001027675321395015,0.001027675321395015,-0.001027675321395015
2300,APPAREL & OTHER FINISHD PRODS OF FABRICS & SIMILAR MATL,0.0,0.000863824,0.0,0.581081081081082,-0.0005019517837837847,-0.0005019517837837847,0.0005019517837837847,-0.0005019517837837847
6399,"INSURANCE CARRIERS, NEC",0.0,0.000221045,0.0,0.3233584668551661,-7.14767723060002e-05,-7.14767723060002e-05,7.14767723060002e-05,-7.14767723060002e-05
